
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
"b'RT @rameem81: As you run out of cash, people depending upon cash economy lose their jobs:-  @meerasanyal \n#DeMonitisation \nhttps://t.co/fzU\xe2\x80\xa6'"
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
b'Hats off to photographer who pictured their last smile before Demonitisation https://t.co/PjxbBUCZ1s'
"b'RT @AAPMember: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/q8XsIL\xe2\x80\xa6'"
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
"b'RT @IndiaToday: Wholesale trade is down by 30%, if this lasts for a month or so, things will get worse only: Prof. Arun Kumar, Economist #D\xe2\x80\xa6'"
"b'RT @rameem81: As you run out of cash, people depending upon cash economy lose their jobs:-  @meerasanyal \n#DeMonitisation \nhttps://t.co/fzU\xe2\x80\xa6'"
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
"b'As you run out of cash, people depending upon cash economy lose their jobs:-  @meerasanyal \n#DeMonitisation \nhttps://t.co/fzUpfnM3jq'"
b'RT @IndiaToday: Less cash in circulation is a step in the right direction: @sambitswaraj #DeMonitisation https://t.co/ZrPTeAQHK7'
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
"b'RT @aappoojapandey: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/i\xe2\x80\xa6'"
b'RT @yogashar99: #HackersOfParliament This HOMO Sapian wants roll back of demonitisation so that in Malda counterfeit notes continue to be p\xe2\x80\xa6'
"b""RT @Ritika19: Excellent points! Why doesn't political parties come under RTI &amp; declare their sources of funding? #DeMonitisation https://t.\xe2\x80\xa6"""
b'RT @Ritika19: I really like Amartya Sen! The objectives are minimal gains &amp; maximum suffering! Not intelligent &amp; certainly not Humane! #DeM\xe2\x80\xa6'
"b'RT @IndiaToday: Wholesale trade is down by 30%, if this lasts for a month or so, things will get worse only: Prof. Arun Kumar, Economist #D\xe2\x80\xa6'"
b'RT @anti_conversion: Side effect of #Demonitisation https://t.co/wTDxkUz8Fd'
"b'RT @aappoojapandey: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/i\xe2\x80\xa6'"
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
"b'RT @aappoojapandey: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/i\xe2\x80\xa6'"
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
"b'RT @IndiaToday: As you run out of cash, people depending upon cash economy lose their jobs: @meerasanyal #DeMonitisation https://t.co/trvzt\xe2\x80\xa6'"
"b'RT @CNNnews18: This weekend on #Virtuosity, @virsanghvi speaks to former finance minister P Chidambaram on #demonitisation https://t.co/U3g\xe2\x80\xa6'"
"b'RT @IndiaToday: People are not spending, they are holding money. This will impact the growth numbers: Prof. Arun Kumar, Economist #DeMoniti\xe2\x80\xa6'"
